video_id,video_title,timestamp_start,timestamp_end,observed_pattern,evidence_level,agios_decision,implementation_status,reason
9rXH2ssCe9E,Hermes Agent has a NEW SuperPower (NotebookLM),00:01:22,00:01:45,"NotebookLM audio, slides, video, and mind-map outputs",auto-caption claim,derived_artifact_review,manual_only,"Generated media is not canonical evidence"
9rXH2ssCe9E,Hermes Agent has a NEW SuperPower (NotebookLM),00:05:51,00:06:35,"Download a skill, sign in through a browser, and let it obtain the NotebookLM cookie for programmatic use",auto-caption explicit mechanism,reject,not_installed,"Unsupported private-product automation and excessive Google-session authority"
6t32nPxeJb8,Claude Code + NotebookLM = Infinite Memory,00:03:15,00:04:50,"Install a supplied skill and GitHub Python script; browser sign-in yields a token/cookie",auto-caption explicit mechanism,reject,not_installed,"Third-party code would control an authenticated personal account"
6t32nPxeJb8,Claude Code + NotebookLM = Infinite Memory,00:04:17,00:04:30,"Retrieve the relevant source instead of injecting hundreds of pages into every prompt",auto-caption workflow claim,adopt,implemented,"AGIOS already uses scoped citation retrieval"
ipYz0hFa8qA,Hermes Agent OS + Obsidian Is INSANE!,00:03:31,00:03:58,"Plain Markdown notes remain local and agent-accessible",auto-caption workflow claim,adopt,existing,"Local ownership and portability fit AGIOS"
ipYz0hFa8qA,Hermes Agent OS + Obsidian Is INSANE!,00:03:48,00:04:11,"Agents share one Obsidian-backed brain",auto-caption workflow claim,adopt_with_scope,existing,"AGIOS retains folder/project authorization instead of universal vault access"
ipYz0hFa8qA,Hermes Agent OS + Obsidian Is INSANE!,00:04:20,00:04:51,"Script, generate, edit, and publish through a video-agent pipeline",auto-caption claim,adopt_partially,approval_gated,"Generation/review may be automated; publishing remains exact-approval gated"
6QLzDqB5YKU,Hermes: Agent OS + Obsidian + Kanban + Paperclip,00:01:09,00:02:37,"Animated memory galaxy over Obsidian notes",auto-caption plus interface description,reject,not_implemented,"Ruben requires a readable Obsidian-style Memory surface rather than graph decoration"
6QLzDqB5YKU,Hermes: Agent OS + Obsidian + Kanban + Paperclip,00:03:44,00:04:52,"Native Hermes Kanban assigns and triages tasks across Hermes profiles",auto-caption workflow claim,adopt,existing,"One native queue avoids duplicate task state"
6QLzDqB5YKU,Hermes: Agent OS + Obsidian + Kanban + Paperclip,00:04:55,00:05:45,"Paperclip adds org chart, heterogeneous runtimes, activity and token tracking but is more complex",auto-caption comparison,adopt_patterns_only,implemented_in_part,"External Paperclip would create a second control plane"
RRMP5paN-TI,OpenClaw Skills: 34 Use Cases + How to Install Them SAFELY,00:00:53,00:02:15,"Third-party skill files can contain insecure or prompt-injection behavior",auto-caption warning,adopt,existing,"AGIOS requires source review before installation"
RRMP5paN-TI,OpenClaw Skills: 34 Use Cases + How to Install Them SAFELY,00:02:16,00:02:30,"Delegate credentialed API calls to a bounded integration instead of exposing credentials to an agent",auto-caption example,adopt,existing,"Credential brokers and scoped adapters are safer than raw agent access"
RRMP5paN-TI,OpenClaw Skills: 34 Use Cases + How to Install Them SAFELY,00:02:48,00:04:38,"Human reads SKILL.md, asks a model to scan it, then may rewrite a safer local variant",auto-caption workflow,adopt_and_strengthen,existing,"An LLM opinion alone is insufficient; source, dependency, privilege and independent review remain required"
A75zZTFw_o0,Hermes: Agent OS + Obsidian + FREE APIs + WebUI!,00:07:49,00:08:02,"Inspect SKILL.md before installing or author a narrower local skill",auto-caption recommendation,adopt,existing,"Matches Hermes skill safety policy"
A75zZTFw_o0,Hermes: Agent OS + Obsidian + FREE APIs + WebUI!,00:10:49,00:11:30,"Writer, editor, and judge roles iterate on a video through Kanban",auto-caption workflow claim,adopt_with_evidence,planned,"Distinct roles help only when outputs and reviewer evidence are real"
LSn7uFWwdFk,Agent OS + Obsidian + Memory Galaxy!,00:03:01,00:03:40,"Memory galaxy visualization is presented as the agency memory layer",auto-caption interface description,reject,not_implemented,"Readable note retrieval has higher operator value than an animated graph"
LSn7uFWwdFk,Agent OS + Obsidian + Memory Galaxy!,00:03:40,00:04:13,"Move skills and memory between Claude and Hermes",auto-caption workflow claim,adopt_portability,existing,"Markdown skills and vault notes remain runtime-neutral"
8ZuDHJ-vxng,Hermes Agent OS: Mixture of Agents + Hermes Oracle + Obsidian!,00:03:07,00:03:34,"Consolidate conversations into a daily Obsidian log",auto-caption suggested command,adopt_with_boundaries,planned,"Only approved summaries should be stored; raw private transcripts should not be copied automatically"
8ZuDHJ-vxng,Hermes Agent OS: Mixture of Agents + Hermes Oracle + Obsidian!,00:05:39,00:06:15,"Export structured research/memory into Obsidian",auto-caption workflow claim,adopt,existing,"Canonical notes remain local and auditable"
Bys4s8VBhIY,NotebookLM + Agent OS is INSANE!,00:02:03,00:03:29,"Capture notebooks, generate outputs, store memory, and repeat as a content loop",auto-caption narrated architecture,adopt_selectively,implemented_in_part,"AGIOS supports curated context and evidence; generation remains manual for personal NotebookLM"
Bys4s8VBhIY,NotebookLM + Agent OS is INSANE!,00:03:48,00:04:27,"Push generated content into social and video-agent workflows",auto-caption claim,owner_gate,not_automatic,"Publication and external communication require exact content-and-destination approval"
D8cB65NLhco,Hermes + NotebookLM AI Agent Is INSANE!,00:06:32,00:06:43,"Show every notebook and generated studio artifact inside one dashboard",auto-caption claim,do_not_fake,not_implemented,"Personal NotebookLM has no supported account API for this live account view"
JM2maMphEhc,The Missing Piece for OpenClaw Users — Free Mission Control Dashboard,00:01:14,00:01:19,"Agents wait for approval before making changes",auto-caption workflow claim,adopt,existing,"Matches exact-run owner approval"
JM2maMphEhc,The Missing Piece for OpenClaw Users — Free Mission Control Dashboard,00:03:14,00:03:34,"Clone and install a GitHub mission-control dashboard",auto-caption setup claim,source_review_required,not_installed,"A dashboard is not trusted merely because it is open source"
l_6rJLOcx5c,Hermes + Oracle + Paperclip + Jarvis Agent OS Is WILD,00:07:52,00:08:21,"Multiple integrated systems introduce setup and troubleshooting complexity",auto-caption caveat,keep_single_control_plane,implemented,"AGIOS displays Paperclip and Buzz as HOLD rather than pretending they are connected"
